region,state,periodo_ref,chuva_media_acumulada,temperatura_media,umidade_media,vento_medio_kmh,pressao_media_inHg,radiacao_media
N,AC,2015-01-01,245.46667,24.55919,88.269714,4.225503,29.18386,1547.5914
N,AC,2015-02-01,220.13335,25.144915,87.20416,4.5061855,29.153605,1408.6997
N,AC,2015-03-01,219.3667,25.06487,88.288414,4.016967,29.15609,1321.5773
N,AC,2015-04-01,178.06664,25.011803,87.96291,3.4224193,29.179136,1285.9725
N,AC,2015-05-01,107.88567,24.785742,87.75525,3.7905877,29.200268,1193.8756
N,AC,2015-06-01,36.42857,24.64004,84.871666,3.2663968,29.248884,1352.292
N,AC,2015-07-01,23.685717,24.700708,82.76082,3.486169,29.23807,1233.5597
N,AC,2015-08-01,62.228558,26.11689,78.39032,3.5564098,29.193121,1293.543
N,AC,2015-09-01,47.371426,26.570616,77.463806,4.0803175,29.16958,1370.4261
N,AC,2015-10-01,75.74285,26.70357,77.55216,4.814304,29.154438,1416.0668
N,AC,2015-11-01,180.82857,26.30087,82.159035,4.6374984,29.105518,1335.2695
N,AC,2015-12-01,223.4571,25.753757,84.48336,4.360563,29.156845,1268.7457
N,AC,2016-01-01,193.82854,26.362173,85.4151,4.1914697,29.123325,1220.8502
N,AC,2016-02-01,243.25719,25.807817,86.84243,4.0060315,29.145908,1238.426
N,AC,2016-03-01,126.1714,25.88501,86.55123,4.0467176,29.180927,1189.503
N,AC,2016-04-01,75.71427,25.71679,85.00584,3.9371834,29.178375,1313.7632
N,AC,2016-05-01,61.314278,24.768944,85.1127,3.757798,29.242044,1113.058
N,AC,2016-06-01,23.71429,23.825447,83.13894,4.0494018,29.280077,1174.4486
N,AC,2016-07-01,9.1428585,24.811563,76.46435,3.009705,29.216455,1341.1414
N,AC,2016-08-01,38.2,25.352865,73.76919,3.4955127,29.19079,1201.4302
N,AC,2016-09-01,44.371426,25.590908,76.45968,4.146584,29.205835,1290.4958
N,AC,2016-10-01,126.02855,26.30002,78.603516,4.2786946,29.130129,1363.911
N,AC,2016-11-01,93.428566,26.717587,80.093216,5.4062295,29.100786,1429.5814
N,AC,2016-12-01,161.91428,26.549452,82.33338,5.662305,29.120481,1474.4398
N,AC,2017-01-01,174.59996,25.77096,85.686424,4.8514137,29.144073,1392.1044
N,AC,2017-02-01,93.59996,26.577307,70.67565,5.7516255,29.110876,1494.7338
N,AC,2017-03-01,137.34285,26.539474,71.76941,5.0754967,29.107553,1306.9811
N,AC,2017-04-01,87.65713,24.97107,85.909935,3.6682072,29.162296,1201.231
N,AC,2017-05-01,23.6,26.153008,81.18494,3.368132,29.197475,1398.9259
N,AC,2017-06-01,6.9428573,25.607767,67.02982,4.927502,29.206095,1588.8563
N,AC,2017-07-01,5.714286,25.75232,55.74302,4.3300877,29.247663,1865.8232
N,AC,2017-08-01,13.200002,28.337942,69.02843,5.40171,29.190525,1307.139
N,AC,2017-09-01,106.71429,25.703478,78.79515,3.8383915,29.18653,1345.3339
N,AC,2017-10-01,91.31427,26.105093,78.6968,4.948403,29.134457,1467.9324
N,AC,2017-11-01,169.25713,25.669558,84.38123,4.038252,29.105333,1273.7242
N,AC,2017-12-01,142.91422,25.50382,84.555595,4.257714,29.1201,1343.4181
N,AC,2018-01-01,122.599976,25.08998,85.31339,4.0639973,29.145708,1452.7158
N,AC,2018-02-01,95.22855,25.189627,86.50372,3.5536494,29.138865,1277.953
N,AC,2018-03-01,105.11426,25.11638,86.41471,3.4914048,29.149366,1229.9572
N,AC,2018-04-01,93.08569,25.356964,84.75641,3.450557,29.213007,1141.7704
N,AC,2018-05-01,87.39999,25.009806,83.87235,3.3098235,29.248713,1203.6388
N,AC,2018-06-01,15.285715,23.75507,80.27556,3.538301,29.299633,1212.0033
N,AC,2018-07-01,17.37143,25.235783,73.66573,3.4795985,29.27185,1448.191
N,AC,2018-08-01,45.68572,24.793423,74.26908,4.422053,29.253431,1283.4061
N,AC,2018-09-01,73.171425,25.76082,74.90996,4.323754,29.149035,1178.316
N,AC,2018-10-01,188.82854,25.862837,82.32013,4.082609,29.1254,1041.5195
N,AC,2018-11-01,235.82858,25.680206,85.15511,4.365793,29.102564,926.85254
N,AC,2018-12-01,145.25713,25.071966,86.00413,3.858371,29.175133,1059.2487
N,AC,2019-01-01,226.3429,25.11236,86.52476,3.4444127,29.18139,1044.7914
N,AC,2019-02-01,231.14287,25.379473,86.807304,3.487804,29.164045,1012.3743
N,AC,2019-03-01,237.0858,25.569326,86.34677,3.3415484,29.171488,951.6538
N,AC,2019-04-01,107.11426,25.95449,84.0423,3.3648028,29.16953,1031.0381
N,AC,2019-05-01,51.771427,25.84929,82.32022,3.3040714,29.190514,1027.3058
N,AC,2019-06-01,33.62857,25.376999,81.6512,3.1371164,29.258984,1123.132
N,AC,2019-07-01,66.828575,23.97902,80.687546,3.3562794,29.278688,1151.7931
N,AC,2019-08-01,43.971424,24.49385,72.44845,3.4775417,29.293264,1088.9625
N,AC,2019-09-01,88.82856,26.660412,76.530945,3.6989057,29.220432,1096.0955
N,AC,2019-10-01,127.771416,25.717192,81.89228,3.858814,29.200657,1197.0621
N,AC,2019-11-01,216.39998,26.156145,82.491745,3.9299135,29.153599,1260.2355
N,AC,2019-12-01,313.77148,25.386557,86.830444,3.4740627,29.169703,1005.3425
N,AC,2020-01-01,183.2571,26.107748,84.1427,3.761698,29.210037,1068.1123
N,AC,2020-02-01,182.99998,25.66198,86.406425,3.42499,29.22227,978.2881
N,AC,2020-03-01,165.17142,25.7708,86.30626,3.1032631,29.189133,1066.0137
N,AC,2020-04-01,110.05713,26.007792,81.354866,3.8816159,29.204573,1320.8359
N,AC,2020-05-01,44.65713,25.99148,79.30119,4.1403522,29.249401,1506.4248
N,AC,2020-06-01,19.0,26.279518,81.85187,3.0622628,29.23711,1180.3671
N,AC,2020-07-01,30.914286,25.9514,80.73912,3.4658668,29.232922,1221.4932
N,AC,2020-08-01,14.428572,27.442396,69.07074,4.176888,29.215559,1393.9712
N,AC,2020-09-01,51.285706,29.241165,68.450165,4.1403003,29.16821,1386.3185
N,AC,2020-10-01,40.714287,28.550173,75.21552,5.4001317,29.198734,2038.3636
N,AC,2020-11-01,31.942852,28.281696,75.9465,4.3398857,29.181623,1671.6206
N,AC,2020-12-01,93.17143,25.068136,86.637474,3.9020147,29.151777,1245.5194
N,AC,2021-01-01,87.11427,25.389215,85.4837,4.121196,29.16268,2130.2117
N,AC,2021-02-01,133.42862,25.36422,87.54567,3.929357,29.244387,1239.1952
N,AC,2021-03-01,75.91427,25.142382,86.4956,4.212372,29.258572,1237.4454
N,AC,2021-04-01,21.31428,26.773495,79.2307,5.2637796,29.284641,1665.1086
NE,AL,2015-01-01,26.933332,27.002121,69.89408,10.478238,29.555323,1740.6342
NE,AL,2015-02-01,53.266666,27.620773,72.220924,9.672943,29.52519,1588.1372
NE,AL,2015-03-01,34.533333,28.457487,69.66012,9.973877,29.50974,1687.291
NE,AL,2015-04-01,25.0,29.159307,68.25087,9.158932,29.5075,1631.8477
NE,AL,2015-05-01,118.23334,27.193457,77.25428,7.2709413,29.56014,1346.7397
NE,AL,2015-06-01,220.56664,25.470436,83.38337,6.640886,29.623926,1155.5577
NE,AL,2015-07-01,166.7,25.10045,83.99879,7.42495,29.645264,1219.3246
NE,AL,2015-08-01,67.03332,24.171295,75.60929,7.24221,29.646101,1363.5238
NE,AL,2015-09-01,35.233334,25.484343,71.36481,8.624417,29.60552,1566.358
NE,AL,2015-10-01,25.46667,26.342295,67.66328,9.62266,29.586618,1677.4473
NE,AL,2015-11-01,3.6333332,27.812353,63.52527,11.376918,29.505577,1857.8789
NE,AL,2015-12-01,46.0,27.58047,66.67724,9.609436,29.552065,1628.8896
NE,AL,2016-01-01,98.46665,27.266336,71.090065,7.9463696,29.510225,1441.7808
NE,AL,2016-02-01,30.03332,27.37811,68.80528,7.8367524,29.536276,1642.2329
NE,AL,2016-03-01,98.23333,27.829103,68.58854,7.763307,29.541039,1570.4474
NE,AL,2016-04-01,99.16663,26.767878,72.67953,6.9080014,29.533516,1367.9918
NE,AL,2016-05-01,144.49995,25.590233,74.91873,5.9852424,29.591688,1226.58
NE,AL,2016-06-01,115.33331,24.84938,75.540855,6.204147,29.637793,1230.5258
NE,AL,2016-07-01,86.66663,23.796587,74.56524,6.4971547,29.64702,1270.172
NE,AL,2016-08-01,34.666668,24.124256,70.0532,7.1077814,29.721706,1374.2423
NE,AL,2016-09-01,21.266672,25.293337,68.25758,9.112436,29.614891,1620.0468
NE,AL,2016-10-01,15.966666,26.467278,66.04015,10.584597,29.54332,1739.1407
NE,AL,2016-11-01,11.200001,26.513515,67.793564,12.055952,29.45372,1599.7802
NE,AL,2016-12-01,20.76667,27.34493,65.4963,10.789177,29.505135,1631.7505
NE,AL,2017-01-01,18.500002,27.349428,64.666664,9.573386,29.518457,1726.737
