region,state,semana_ref,chuva_media_semanal,temperatura_media,umidade_media,vento_medio,pressao_media,radiacao_media
N,AC,2014-12-29,22.499998,24.609375,88.020836,1.2249998,988.43726,1178.9998
N,AC,2015-01-05,49.09999,24.676886,86.97143,1.1931673,988.84595,1596.35
N,AC,2015-01-12,57.233334,24.567167,88.35357,1.1174998,988.4506,1619.9144
N,AC,2015-01-19,60.56665,24.455757,88.450165,1.1883621,988.0457,1643.3472
N,AC,2015-01-26,66.93333,24.408236,89.691666,1.1241667,987.92017,1518.708
N,AC,2015-02-02,16.066668,25.777773,83.597626,1.3617859,987.01636,1827.1637
N,AC,2015-02-09,36.899998,24.990578,88.00715,1.0932283,988.3125,1339.9092
N,AC,2015-02-16,93.76666,25.1129,88.38094,1.4045237,985.9755,1204.6702
N,AC,2015-02-23,65.166664,24.867262,88.11309,1.1367855,987.46484,1312.5123
N,AC,2015-03-02,48.000004,24.798712,89.42857,1.1339285,986.8504,1254.3837
N,AC,2015-03-09,60.699997,25.771332,87.53038,1.0655572,986.03094,1457.3608
N,AC,2015-03-16,73.16666,24.783352,88.96777,1.0600045,987.88983,1272.3331
N,AC,2015-03-23,33.63333,24.907854,88.409225,1.1633928,989.54675,1318.6903
N,AC,2015-03-30,36.43333,25.483929,86.72619,1.0471727,987.95135,1481.9036
N,AC,2015-04-06,39.999996,24.517262,88.32589,1.0703869,989.09375,1345.2999
N,AC,2015-04-13,34.233334,25.155882,87.854164,1.0507585,988.7001,1355.3926
N,AC,2015-04-20,32.93334,25.315357,87.970245,1.1330662,989.01483,1471.1726
N,AC,2015-04-27,51.166668,25.196768,88.12124,1.0971124,987.35785,1341.5284
N,AC,2015-05-04,29.200003,24.757675,88.80992,1.0343181,989.1629,1205.0997
N,AC,2015-05-11,32.314285,23.836906,89.563095,1.1629221,990.3062,991.42334
N,AC,2015-05-18,6.857143,25.180014,86.5,0.8581275,989.97015,1337.7026
N,AC,2015-05-25,30.428572,24.9251,88.21786,0.9382143,988.6521,1170.4398
N,AC,2015-06-01,14.285716,25.384918,86.98691,0.8308333,989.45245,1426.3734
N,AC,2015-06-08,1.8285714,25.22986,86.444046,0.8240477,988.8498,1332.3988
N,AC,2015-06-15,11.371428,23.371727,84.14643,1.1445236,991.11664,1279.996
N,AC,2015-06-22,6.114286,24.347952,82.805954,0.81845224,992.7592,1352.1229
N,AC,2015-06-29,12.314286,24.798807,84.719055,1.0236905,989.56573,1202.6113
N,AC,2015-07-06,11.314285,24.265617,86.0369,0.87663096,989.97974,1197.3541
N,AC,2015-07-13,1.0285715,24.675558,83.25834,1.0623019,990.30084,1210.826
N,AC,2015-07-20,0.51428574,24.621649,80.04509,1.0160289,991.00946,1305.2968
N,AC,2015-07-27,1.4857142,25.654284,77.305954,0.83392847,989.1409,1363.8154
N,AC,2015-08-03,7.1714287,26.554659,77.45238,1.1004761,987.9992,1336.333
N,AC,2015-08-10,36.22857,25.29841,81.59643,1.0933334,989.3614,1185.6095
N,AC,2015-08-17,0.2857143,26.595839,76.32381,0.79878026,988.37823,1379.8922
N,AC,2015-08-24,13.914287,26.323412,77.99643,0.9745239,988.365,1275.4048
N,AC,2015-08-31,13.685715,25.429176,82.183334,1.0274999,989.98615,1209.6538
N,AC,2015-09-07,15.685715,26.784027,76.63334,1.3246429,987.1624,1373.3934
N,AC,2015-09-14,8.742857,26.591215,75.876236,1.0320622,988.1999,1421.5645
N,AC,2015-09-21,8.942858,27.810831,73.549355,1.1703355,986.90234,1500.333
N,AC,2015-09-28,9.685714,26.963293,76.23572,1.2672619,986.3472,1349.8824
N,AC,2015-10-05,15.971429,28.102022,71.92928,1.3252046,987.0098,1604.1403
N,AC,2015-10-12,17.657143,25.640148,79.56973,1.2984811,988.58264,1329.3289
N,AC,2015-10-19,16.342855,27.214539,76.39881,1.2693452,987.16797,1520.319
N,AC,2015-10-26,25.37143,26.471466,79.70237,1.389484,986.7791,1357.4591
N,AC,2015-11-02,80.74285,24.880526,87.717255,1.1307539,986.77783,1025.8958
N,AC,2015-11-09,25.685715,26.4517,80.37301,1.0802579,986.9871,1457.7375
N,AC,2015-11-16,28.142859,27.235209,77.916664,1.4600201,984.04016,1551.5121
N,AC,2015-11-23,34.68571,26.954762,81.25,1.4349208,984.6289,1437.7609
N,AC,2015-11-30,17.057142,26.190777,82.202385,1.4268848,987.3924,1315.6904
N,AC,2015-12-07,65.08571,26.094385,82.05456,1.2256943,987.56934,1412.2986
N,AC,2015-12-14,46.74286,25.589527,85.509834,1.2019423,986.8011,1274.9299
N,AC,2015-12-21,67.05714,25.337755,87.48181,1.060615,987.1534,1062.3153
N,AC,2015-12-28,60.82857,25.379505,87.39782,1.2360117,987.51855,1105.0109
N,AC,2016-01-04,57.857147,26.033756,87.047615,1.0847443,986.41077,1187.1444
N,AC,2016-01-11,50.57143,26.113861,87.24703,1.1228446,985.82086,1171.4294
N,AC,2016-01-18,31.457142,26.928146,82.75695,1.0772747,986.35333,1384.4924
N,AC,2016-01-25,27.714285,26.683504,83.55853,1.323961,986.1125,1219.1843
N,AC,2016-02-01,81.22857,25.303997,87.3988,1.2404763,987.37366,1082.4945
N,AC,2016-02-08,45.31428,25.86624,86.02778,1.1182541,988.15265,1383.8114
N,AC,2016-02-15,39.68572,26.438946,85.46528,1.0094247,985.8292,1342.7295
N,AC,2016-02-22,55.0,25.778656,87.6875,1.0934523,986.4665,1234.9557
N,AC,2016-02-29,48.42857,26.18163,87.4365,1.0044192,987.1242,1207.6116
N,AC,2016-03-07,39.285713,25.679062,86.111115,1.2377976,988.0258,1173.7217
N,AC,2016-03-14,29.199999,25.894474,86.16071,1.1457342,988.51575,1204.081
N,AC,2016-03-21,19.485714,25.667562,87.11091,1.0970289,988.5084,1110.1703
N,AC,2016-03-28,31.685713,25.79345,87.61191,0.98880947,989.36255,1255.5675
N,AC,2016-04-04,15.942858,26.576792,85.75238,0.9005996,987.6352,1430.2777
N,AC,2016-04-11,25.200003,26.00268,87.065475,1.0390698,987.52344,1221.081
N,AC,2016-04-18,8.085714,26.485413,85.19643,1.017976,987.9189,1380.2622
N,AC,2016-04-25,6.6285715,23.325338,79.48096,1.5138098,989.4405,1241.0017
N,AC,2016-05-02,10.342856,25.230852,82.01667,0.8730952,989.59686,1314.2345
N,AC,2016-05-09,26.771425,25.72004,86.55476,0.98319876,989.5796,1149.2174
N,AC,2016-05-16,21.742859,25.033136,88.21666,1.0360714,990.1226,956.9599
N,AC,2016-05-23,1.5142858,23.601007,84.723114,1.2715518,991.95435,995.4532
N,AC,2016-05-30,4.7999997,25.11435,85.5414,1.000256,988.30817,1182.8545
N,AC,2016-06-06,13.314286,23.235098,85.81035,1.3955629,992.6628,937.5258
N,AC,2016-06-13,0.4,23.235077,80.32671,0.9020063,992.64417,1288.7699
N,AC,2016-06-20,0.2857143,23.488255,78.24096,0.97470224,990.73206,1336.3065
N,AC,2016-06-27,5.9142866,23.290266,80.46875,0.8927083,991.0,1222.7919
N,AC,2016-07-04,4.228572,24.551315,81.66072,0.8123511,990.52527,1166.3147
N,AC,2016-07-11,4.571429,26.227463,78.87649,0.9446428,988.07947,1414.8721
N,AC,2016-07-18,0.114285715,23.859867,73.11834,0.83191633,990.2287,1472.168
