region,state,periodo_ref,chuva_media_acumulada,temperatura_media,umidade_media,vento_medio_kmh,pressao_media_inHg,radiacao_media
N,AC,2015-01-01,684.9668,24.908798,87.932335,4.269338,29.16569,1421.2184
N,AC,2015-04-01,296.94305,24.819609,86.686485,3.6541665,29.204876,1265.9933
N,AC,2015-07-01,133.28569,25.749765,79.73033,3.6831207,29.201097,1294.0522
N,AC,2015-10-01,480.02884,26.207973,81.70625,4.5820565,29.138437,1335.0619
N,AC,2016-01-01,563.2575,26.024975,86.252625,4.0926256,29.149685,1216.0544
N,AC,2016-04-01,160.74289,24.790014,84.35985,3.9244556,29.233019,1203.7015
N,AC,2016-07-01,91.71428,25.48196,75.93133,4.002733,29.206137,1320.9493
N,AC,2016-10-01,381.37164,26.369553,80.29183,5.277245,29.118027,1377.2662
N,AC,2017-01-01,405.54312,25.983656,74.555824,5.06152,29.140001,1375.6139
N,AC,2017-04-01,118.20002,26.286566,70.58916,3.3801937,29.156897,1514.3658
N,AC,2017-07-01,125.628555,25.658978,77.214096,3.9664085,29.201414,1455.4318
N,AC,2017-10-01,403.4861,25.924503,81.33332,4.882732,29.115088,1402.2675
N,AC,2018-01-01,322.9431,25.140198,86.01141,3.8906949,29.144499,1367.416
N,AC,2018-04-01,195.77148,24.809128,83.074165,3.3972485,29.24557,1133.5763
N,AC,2018-07-01,136.22856,25.228949,74.88584,4.291433,29.20025,1211.8245
N,AC,2018-10-01,569.9146,25.560501,84.27204,4.203099,29.130507,974.7206
N,AC,2019-01-01,694.57196,25.339523,86.57095,3.4164493,29.172781,960.9351
N,AC,2019-04-01,192.51431,25.552244,82.76854,3.1202815,29.226278,984.0596
N,AC,2019-07-01,199.62856,24.951494,76.67434,3.4781468,29.266962,1051.7252
N,AC,2019-10-01,657.9433,25.550217,84.64916,3.635271,29.174871,1110.5442
N,AC,2020-01-01,531.42896,25.795841,85.76556,3.4599264,29.187153,1034.8158
N,AC,2020-04-01,173.71436,26.010292,80.32619,3.885172,29.21647,1333.6237
N,AC,2020-07-01,96.628555,26.612516,76.76901,3.9116986,29.218678,1333.4752
N,AC,2020-10-01,165.82869,27.528698,78.15767,4.7142015,29.141302,1691.8245
N,AC,2021-01-01,296.45743,25.398802,85.88131,4.0740547,29.165857,2106.136
N,AC,2021-04-01,21.31428,26.773495,79.2307,5.2637796,29.284641,1665.1086
NE,AL,2015-01-01,114.7333,27.596144,70.929985,9.934802,29.531616,1672.7313
NE,AL,2015-04-01,363.80005,27.204401,76.626175,7.6006293,29.564157,1378.2565
NE,AL,2015-07-01,268.9669,24.83039,75.715904,7.690471,29.631449,1366.4653
NE,AL,2015-10-01,75.09998,27.238867,65.9985,10.190244,29.548513,1720.3163
NE,AL,2016-01-01,226.73341,27.49367,69.50765,7.8490486,29.528887,1549.4893
NE,AL,2016-04-01,359.00015,25.734396,74.38978,6.3618035,29.587793,1274.9077
NE,AL,2016-07-01,142.59987,24.321974,71.30604,7.5258365,29.63463,1418.3408
NE,AL,2016-10-01,47.93334,26.923828,65.8717,11.032037,29.521177,1697.9956
NE,AL,2017-01-01,63.89998,27.598259,65.4049,8.9425,29.505327,1843.5009
NE,AL,2017-04-01,567.1001,25.454779,77.19112,5.914776,29.562439,1382.9418
NE,AL,2017-07-01,207.54305,23.09584,77.84347,7.1976676,29.624842,1119.5116
NE,AL,2017-10-01,62.82856,26.19242,69.133156,9.465741,29.488516,1858.2201
NE,AL,2018-01-01,168.08572,27.067123,70.72668,8.318521,29.460268,1751.578
NE,AL,2018-04-01,261.97174,24.88623,78.20884,5.6595182,29.546316,1140.2504
NE,AL,2018-07-01,110.057175,23.956944,74.72154,7.3299217,29.597599,1386.324
NE,AL,2018-10-01,102.0857,26.746399,68.0396,9.9147415,29.492628,1892.4513
NE,AL,2019-01-01,178.40001,27.363096,71.598175,7.691596,29.488186,1709.8768
NE,AL,2019-04-01,200.74303,26.106646,75.6382,5.7830777,29.51677,1201.4391
NE,AL,2019-07-01,201.31442,24.063608,79.795616,6.886375,29.668406,1303.726
NE,AL,2019-10-01,28.800007,27.19629,65.13084,10.500519,29.537996,1760.5831
NE,AL,2020-01-01,117.257095,28.106684,68.38315,7.9284286,29.525377,1597.4259
NE,AL,2020-04-01,206.42873,26.239431,75.196594,5.7639146,29.583601,1364.5654
NE,AL,2020-07-01,78.82865,24.524479,70.45082,7.254158,29.62793,1458.679
NE,AL,2020-10-01,11.457145,27.373009,67.47162,9.714235,29.43232,1563.9341
NE,AL,2021-01-01,38.114277,27.629475,69.24303,8.0596485,29.360098,1669.1016
NE,AL,2021-04-01,17.857155,26.97292,74.13668,5.4021254,29.372961,1235.6677
N,AM,2015-01-01,748.16724,26.008293,83.283356,3.5435011,29.65408,1347.0308
N,AM,2015-04-01,476.15582,26.27596,83.07991,2.999209,29.68383,1260.8951
N,AM,2015-07-01,103.55554,28.008165,72.82083,3.429314,29.668076,1523.0438
N,AM,2015-10-01,330.1668,28.03347,75.01165,3.3717375,29.610355,1346.2733
N,AM,2016-01-01,562.0336,27.535583,78.62454,3.3616405,29.632849,1256.4678
N,AM,2016-04-01,439.01132,26.518618,82.802155,2.7175994,29.715254,1240.387
N,AM,2016-07-01,198.02225,27.139387,76.90562,2.9298697,29.696335,1464.6078
N,AM,2016-10-01,384.85617,27.100397,79.35664,3.0973117,29.655432,1261.5502
N,AM,2017-01-01,645.47217,25.992346,84.15053,2.7542937,29.648046,839.9599
N,AM,2017-04-01,420.72018,26.765036,83.221825,2.5534472,29.685017,951.9655
N,AM,2017-07-01,177.072,27.329544,76.26311,2.597797,29.686058,1125.6675
N,AM,2017-10-01,372.94418,27.1664,80.761086,2.7663865,29.601002,993.1913
N,AM,2018-01-01,361.20825,26.70961,81.50874,2.7617564,29.623444,961.23596
N,AM,2018-04-01,375.73624,26.278225,81.76579,2.3262177,29.689474,941.98486
N,AM,2018-07-01,147.48001,27.216345,75.26645,2.8115358,29.699842,1050.0747
N,AM,2018-10-01,301.92017,27.068415,76.57913,2.969352,29.623402,916.4181
N,AM,2019-01-01,625.1671,26.548855,80.678314,3.1865785,29.678865,1010.11615
N,AM,2019-04-01,552.11145,26.765915,82.461395,2.6239886,29.6877,900.713
N,AM,2019-07-01,212.75793,27.076363,76.715485,2.577456,29.71995,1073.4668
N,AM,2019-10-01,541.2213,26.60643,81.56343,2.7406497,29.616043,900.239
N,AM,2020-01-01,304.09488,27.425764,79.07267,3.2808523,29.646431,979.54114
N,AM,2020-04-01,307.85287,26.646648,82.23988,2.326689,29.679928,734.8246
